Symbol,Date      ,Close ,High    ,Low    ,Open    ,Volume
MSFT  ,2018-04-26,94.26 ,95.15   ,93.1   ,93.55   ,42529043
MSFT  ,2018-04-27,95.82 ,97.9    ,93.91  ,97.6    ,48272780
MSFT  ,2018-04-30,93.52 ,96.3964 ,93.15  ,96.33   ,41523605
MSFT  ,2018-05-01,95.0  ,95.29   ,92.79  ,93.21   ,31408927
MSFT  ,2018-05-02,93.51 ,95.17   ,93.19  ,94.99   ,27471002
MSFT  ,2018-05-03,94.07 ,94.925  ,92.45  ,92.96   ,31142497
MSFT  ,2018-05-04,95.16 ,95.37   ,92.92  ,93.32   ,22531325
MSFT  ,2018-05-07,96.22 ,96.71   ,95.1   ,95.17   ,24242019
MSFT  ,2018-05-08,95.81 ,96.16   ,95.0631,95.8456 ,23484589
MSFT  ,2018-05-09,96.94 ,96.97   ,95.05  ,96.01   ,27327410
MSFT  ,2018-05-10,97.91 ,97.95   ,97.05  ,97.46   ,22388119
MSFT  ,2018-05-11,97.7  ,97.87   ,97.04  ,97.8    ,16778316
MSFT  ,2018-05-14,98.03 ,98.69   ,97.31  ,97.92   ,19454124
MSFT  ,2018-05-15,97.32 ,97.85   ,96.34  ,97.24   ,24594010
MSFT  ,2018-05-16,97.15 ,97.4    ,96.615 ,97.36   ,17384742
MSFT  ,2018-05-17,96.18 ,97.5401 ,95.83  ,96.76   ,17246716
MSFT  ,2018-05-18,96.36 ,96.93   ,96.01  ,96.01   ,17865840
MSFT  ,2018-05-21,97.6  ,98.01   ,96.8   ,97.0    ,19422467
MSFT  ,2018-05-22,97.5  ,98.17   ,97.2   ,97.68   ,15441189
MSFT  ,2018-05-23,98.66 ,98.73   ,96.32  ,96.71   ,21251222
MSFT  ,2018-05-24,98.31 ,98.94   ,96.81  ,98.725  ,21527170
MSFT  ,2018-05-25,98.36 ,98.98   ,97.86  ,98.3    ,18363918
MSFT  ,2018-05-28,98.36 ,98.36   ,98.36  ,98.36   ,0
MSFT  ,2018-05-29,98.01 ,98.88   ,97.23  ,97.84   ,28670981
MSFT  ,2018-05-30,98.95 ,99.25   ,97.91  ,98.31   ,21770463
MSFT  ,2018-05-31,98.84 ,99.99   ,98.61  ,99.29   ,32882604
MSFT  ,2018-06-01,100.79,100.86  ,99.17  ,99.2798 ,28655624
MSFT  ,2018-06-04,101.67,101.86  ,100.851,101.26  ,27281623
MSFT  ,2018-06-05,102.19,102.33  ,101.53 ,102.0   ,23514402
MSFT  ,2018-06-06,102.49,102.6   ,101.9  ,102.48  ,21122917
MSFT  ,2018-06-07,100.88,102.69  ,100.38 ,102.65  ,28232197
MSFT  ,2018-06-08,101.63,101.95  ,100.54 ,101.0924,22165128
MSFT  ,2018-06-11,101.05,101.59  ,100.67 ,101.37  ,23490894
MSFT  ,2018-06-12,101.31,101.4493,100.75 ,101.1   ,18325228
MSFT  ,2018-06-13,100.85,102.01  ,100.56 ,101.72  ,29492875
MSFT  ,2018-06-14,101.42,102.03  ,101.0  ,101.65  ,25691811
MSFT  ,2018-06-15,100.13,101.53  ,100.07 ,101.51  ,65738585
MSFT  ,2018-06-18,100.86,101.11  ,99.42  ,100.01  ,23586037
MSFT  ,2018-06-19,100.86,101.0   ,99.5   ,99.65   ,28653087
MSFT  ,2018-06-20,101.87,102.52  ,101.12 ,101.37  ,26180792
MSFT  ,2018-06-21,101.14,102.46  ,100.88 ,102.075 ,23198188
MSFT  ,2018-06-22,100.41,100.77  ,99.625 ,100.41  ,38923105
MSFT  ,2018-06-25,98.39 ,100.11  ,97.3   ,100.0   ,35433333
MSFT  ,2018-06-26,99.08 ,100.08  ,98.75  ,98.82   ,26897244
MSFT  ,2018-06-27,97.54 ,100.02  ,97.4   ,99.58   ,31298386
MSFT  ,2018-06-28,98.63 ,99.11   ,97.26  ,97.38   ,26650671
MSFT  ,2018-06-29,98.61 ,99.91   ,98.33  ,98.93   ,28053214
MSFT  ,2018-07-02,100.01,100.06  ,98.0   ,98.1    ,19564521
MSFT  ,2018-07-03,99.05 ,100.63  ,98.94  ,100.48  ,14670275
MSFT  ,2018-07-04,99.05 ,99.05   ,99.05  ,99.05   ,0
MSFT  ,2018-07-05,99.76 ,99.92   ,99.0299,99.5    ,18977402
MSFT  ,2018-07-06,101.16,101.43  ,99.67  ,99.885  ,19234627
MSFT  ,2018-07-09,101.85,102.25  ,101.251,101.6452,18211980
MSFT  ,2018-07-10,102.12,102.51  ,101.86 ,102.0   ,19293140
MSFT  ,2018-07-11,101.98,102.34  ,101.1  ,101.15  ,19644648
MSFT  ,2018-07-12,104.19,104.41  ,102.73 ,102.77  ,24335929
MSFT  ,2018-07-13,105.43,105.6   ,104.09 ,104.37  ,24653500
MSFT  ,2018-07-16,104.91,105.82  ,104.515,105.4   ,21786912
MSFT  ,2018-07-17,105.95,106.5   ,104.32 ,104.61  ,25901726
MSFT  ,2018-07-18,105.12,106.05  ,104.715,105.94  ,29493927
MSFT  ,2018-07-19,104.4 ,105.31  ,103.89 ,104.93  ,40171646
MSFT  ,2018-07-20,106.27,108.2   ,106.08 ,108.08  ,56038827
